Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,32.549999,32.700001,32.549999,32.700001,26.807451,96093
2020-01-03,32.700001,32.750000,32.700001,32.700001,26.807451,89041
2020-01-06,32.599998,32.700001,32.500000,32.650002,26.766464,66751
2020-01-07,32.650002,32.750000,32.650002,32.650002,26.766464,60241
2020-01-08,32.650002,32.700001,32.599998,32.599998,26.725470,32001
2020-01-09,32.700001,32.700001,32.599998,32.650002,26.766464,66000
2020-01-10,32.599998,32.750000,32.599998,32.750000,26.848444,60102
2020-01-13,33.000000,33.549999,33.000000,33.400002,27.381313,377462
2020-01-14,33.500000,33.599998,33.500000,33.500000,27.463293,127717
2020-01-15,33.500000,33.549999,33.400002,33.400002,27.381313,62034
2020-01-16,33.400002,33.500000,33.400002,33.500000,27.463293,57100
2020-01-17,33.500000,33.500000,33.400002,33.450001,27.422302,93001
2020-01-20,33.500000,33.599998,33.500000,33.599998,27.545273,134051
2020-01-30,32.650002,33.000000,32.400002,32.799999,26.889431,144992
2020-01-31,32.750000,33.000000,32.750000,32.900002,26.971415,105044
2020-02-03,32.799999,32.799999,32.400002,32.750000,26.848444,59320
2020-02-04,32.750000,32.799999,32.650002,32.799999,26.889431,38000
2020-02-05,32.799999,32.950001,32.799999,32.849998,26.930422,19100
2020-02-06,33.000000,33.200001,33.000000,33.200001,27.217354,27271
2020-02-07,33.200001,33.200001,32.750000,32.750000,26.848444,127582
2020-02-10,32.750000,33.000000,32.650002,32.950001,27.012402,95074
2020-02-11,33.299999,33.299999,32.799999,32.900002,26.971415,82502
2020-02-12,32.900002,33.000000,32.799999,32.900002,26.971415,101750
2020-02-13,32.900002,33.049999,32.849998,33.000000,27.053392,29250
2020-02-14,32.950001,33.099998,32.900002,32.900002,26.971415,59123
2020-02-17,32.849998,33.099998,32.849998,33.000000,27.053392,93238
2020-02-18,32.950001,32.950001,32.750000,32.849998,26.930422,49692
2020-02-19,32.849998,33.099998,32.849998,33.099998,27.135372,65001
2020-02-20,33.099998,33.099998,32.900002,33.000000,27.053392,36469
2020-02-21,33.000000,33.000000,32.799999,32.849998,26.930422,46329
2020-02-24,32.750000,32.750000,32.599998,32.599998,26.725470,64139
2020-02-25,32.500000,32.700001,32.500000,32.650002,26.766464,18501
2020-02-26,32.500000,32.799999,32.500000,32.599998,26.725470,33302
2020-02-27,32.799999,32.799999,32.500000,32.500000,26.643494,54590
2020-03-02,31.950001,32.700001,31.950001,32.500000,26.643494,152554
2020-03-03,32.500000,32.700001,32.500000,32.549999,26.684483,60548
2020-03-04,32.599998,32.700001,32.549999,32.549999,26.684483,54870
2020-03-05,32.650002,32.650002,32.549999,32.599998,26.725470,42209
2020-03-06,32.650002,32.650002,32.450001,32.450001,26.602503,65640
2020-03-09,32.349998,32.349998,32.049999,32.049999,26.274582,138801
2020-03-10,31.600000,32.250000,31.450001,32.250000,26.438543,207509
2020-03-11,32.250000,32.450001,31.799999,31.900000,26.151613,26132
2020-03-12,31.900000,31.900000,31.200001,31.450001,25.782703,153269
2020-03-13,30.799999,31.100000,29.500000,31.000000,25.413794,250802
2020-03-16,30.950001,30.950001,29.900000,29.900000,24.512012,118452
2020-03-17,29.100000,29.450001,29.000000,29.400000,24.102112,219909
2020-03-18,29.049999,29.500000,28.750000,29.450001,24.143105,219307
2020-03-19,29.000000,29.000000,27.650000,27.799999,22.790432,241245
2020-03-20,28.000000,28.799999,28.000000,28.650000,23.487263,77014
2020-03-23,28.650000,28.799999,28.250000,28.400000,23.282314,61053
2020-03-24,28.700001,28.900000,28.650000,28.900000,23.692211,32600
2020-03-25,29.049999,29.500000,29.049999,29.049999,23.815182,76912
2020-03-26,29.400000,29.900000,29.400000,29.400000,24.102112,100431
2020-03-27,29.900000,29.950001,29.500000,29.700001,24.348055,80620
2020-03-30,29.400000,29.600000,29.000000,29.400000,24.102112,45143
2020-03-31,29.799999,30.100000,29.549999,29.900000,24.512012,108002
2020-04-01,30.100000,30.350000,30.100000,30.250000,24.798944,64316
2020-04-06,30.299999,30.350000,30.000000,30.150000,24.716963,46211
2020-04-07,30.200001,30.600000,30.200001,30.549999,25.044882,55495
2020-04-08,30.750000,30.900000,30.700001,30.850000,25.290823,35100
2020-04-09,31.000000,31.000000,30.000000,30.549999,25.044882,315520
2020-04-10,30.700001,31.200001,30.549999,30.850000,25.290823,92251
2020-04-13,30.950001,30.950001,30.299999,30.549999,25.044882,140580
2020-04-14,30.549999,30.799999,30.500000,30.799999,25.249832,93975
2020-04-15,30.950001,31.100000,30.700001,30.850000,25.290823,180098
2020-04-16,30.799999,30.850000,30.549999,30.700001,25.167852,59005
2020-04-17,30.750000,31.350000,30.750000,31.049999,25.454782,93300
2020-04-20,31.000000,31.000000,30.799999,30.950001,25.372805,42657
2020-04-21,30.950001,30.950001,30.350000,30.450001,24.962904,90250
2020-04-22,30.400000,30.500000,30.299999,30.400000,24.921911,37510
2020-04-23,30.500000,30.850000,30.500000,30.600000,25.085875,31466
2020-04-24,30.600000,30.700001,30.400000,30.700001,25.167852,20389
2020-04-27,30.700001,31.200001,30.700001,31.000000,25.413794,99024
2020-04-28,31.100000,31.799999,31.049999,31.650000,25.946663,72100
2020-04-29,31.650000,32.450001,31.650000,32.299999,26.479532,367750
2020-04-30,32.400002,32.700001,32.049999,32.400002,26.561514,140850
2020-05-04,32.099998,32.099998,31.600000,31.900000,26.151613,66140
2020-05-05,32.099998,32.150002,31.950001,32.150002,26.356565,82883
2020-05-06,32.150002,32.150002,31.900000,32.049999,26.274582,52221
2020-05-07,31.950001,32.500000,31.850000,32.500000,26.643494,98892
2020-05-08,32.400002,32.400002,32.200001,32.250000,26.438543,76941
2020-05-11,32.200001,32.200001,31.950001,32.099998,26.315571,109368
2020-05-12,32.099998,32.099998,31.000000,31.900000,26.151613,90772
2020-05-13,31.900000,31.900000,31.650000,31.900000,26.151613,40648
2020-05-14,31.850000,31.850000,31.700001,31.750000,26.028643,73926
2020-05-15,31.750000,31.900000,31.700001,31.900000,26.151613,29063
2020-05-18,32.099998,32.099998,31.799999,31.799999,26.069633,27316
2020-05-19,31.950001,32.049999,31.850000,32.049999,26.274582,46503
2020-05-20,32.049999,32.150002,31.850000,31.850000,26.110620,63100
2020-05-21,32.000000,32.200001,32.000000,32.200001,26.397552,20735
2020-05-22,32.099998,32.099998,31.750000,31.750000,26.028643,74200
2020-05-25,31.850000,32.150002,31.799999,32.000000,26.233593,42230
2020-05-26,32.150002,32.349998,32.099998,32.250000,26.438543,65252
2020-05-27,32.049999,32.299999,32.000000,32.200001,26.397552,23218
2020-05-28,32.099998,32.299999,31.850000,32.000000,26.233593,76863
2020-05-29,32.049999,32.150002,32.000000,32.049999,26.274582,10773
2020-06-01,32.049999,32.500000,32.049999,32.500000,26.643494,257569
2020-06-02,33.000000,33.150002,32.849998,32.849998,26.930422,226468
2020-06-03,33.000000,33.200001,33.000000,33.099998,27.135372,168287
2020-06-04,33.000000,33.000000,32.900002,33.000000,27.053392,75414
2020-06-05,33.000000,33.000000,32.799999,32.950001,27.012402,82141
2020-06-08,32.950001,32.950001,32.750000,32.950001,27.012402,64795
2020-06-09,32.799999,33.000000,32.799999,32.950001,27.012402,57338
2020-06-10,32.799999,33.200001,32.799999,33.150002,27.176363,91728
2020-06-11,33.099998,33.099998,32.799999,32.799999,26.889431,60581
2020-06-12,32.799999,32.799999,32.150002,32.250000,26.438543,128464
2020-06-15,32.250000,32.450001,32.099998,32.349998,26.520519,51611
2020-06-16,32.349998,32.450001,32.200001,32.400002,26.561514,116327
2020-06-17,32.500000,32.750000,32.450001,32.750000,26.848444,59835
2020-06-18,32.549999,32.799999,32.549999,32.700001,26.807451,26843
2020-06-19,32.799999,32.849998,32.549999,32.549999,26.684483,73715
2020-06-22,32.900002,33.099998,32.849998,33.000000,27.053392,68550
2020-06-23,33.099998,33.200001,33.000000,33.000000,27.053392,65351
2020-06-24,33.000000,33.250000,33.000000,33.049999,27.094381,166351
2020-06-29,33.049999,33.049999,32.799999,32.950001,27.012402,68703
2020-06-30,32.950001,33.000000,32.849998,33.000000,27.053392,21310
2020-07-01,33.099998,33.099998,32.950001,32.950001,27.012402,43039
2020-07-02,33.000000,33.250000,33.000000,33.250000,27.258343,62690
2020-07-03,33.250000,33.250000,33.099998,33.200001,27.217354,37912
2020-07-06,33.700001,33.950001,33.450001,33.799999,27.709230,392741
2020-07-07,34.000000,34.200001,33.599998,34.099998,27.955172,223639
2020-07-08,34.049999,34.049999,33.849998,34.000000,27.873192,89540
2020-07-09,34.200001,34.500000,34.000000,34.150002,27.996164,223444
2020-07-10,34.299999,34.349998,33.900002,34.150002,27.996164,169573
2020-07-13,34.150002,34.400002,34.150002,34.299999,28.119129,235935
2020-07-14,34.400002,34.400002,34.049999,34.099998,27.955172,221048
2020-07-15,34.099998,34.250000,34.099998,34.099998,27.955172,388114
2020-07-16,32.500000,32.750000,32.400002,32.650002,28.170877,142068
2020-07-17,32.650002,32.700001,32.400002,32.400002,27.955173,109411
2020-07-20,32.400002,32.500000,32.250000,32.250000,27.825750,73798
2020-07-21,32.799999,32.799999,32.400002,32.599998,28.127733,192669
2020-07-22,32.700001,32.700001,32.450001,32.450001,27.998314,63790
2020-07-23,32.400002,32.450001,32.250000,32.299999,27.868891,75191
2020-07-24,32.250000,32.599998,32.200001,32.200001,27.782610,72950
2020-07-27,32.150002,32.150002,32.000000,32.000000,27.610046,133387
2020-07-28,32.000000,32.049999,31.299999,31.350000,27.049219,218562
2020-07-29,31.549999,31.850000,31.450001,31.500000,27.178638,124241
2020-07-30,31.549999,31.750000,31.350000,31.500000,27.178638,75462
